City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2021-04-14 03:54:27,-20.5167,57.5167,78.8,83,75,8.05
68,Airai,TL,2021-04-14 03:54:27,-8.9266,125.4092,74.32,46,1,3.96
69,Rajmahal,IN,2021-04-14 03:54:28,25.05,87.8333,99.79,16,1,5.28
70,Ribeira Grande,PT,2021-04-14 03:54:28,38.5167,-28.7,60.91,92,92,10.31
71,Krasni Okny,UA,2021-04-14 03:54:28,47.5404,29.46,44.11,86,100,7.92
72,Grand-Santi,GF,2021-04-14 03:54:29,4.25,-54.3833,73.04,99,97,2.37
73,Hami,CN,2021-04-14 03:54:29,42.8,93.45,63.61,9,44,12.88
74,Sitka,US,2021-04-14 03:54:30,57.0531,-135.33,44.6,76,90,11.5
75,Ocos,GT,2021-04-14 03:54:30,14.5094,-92.1933,80.6,89,1,3.87
76,Ucluelet,CA,2021-04-14 03:53:17,48.9329,-125.5528,50.0,66,47,6.17
77,Lagos,NG,2021-04-14 03:54:28,6.5833,3.75,78.8,94,20,2.3
78,Flinders,AU,2021-04-14 03:54:31,-34.5833,150.8552,75.0,50,68,1.99
79,Kizhinga,RU,2021-04-14 03:54:31,51.8462,109.9097,38.21,29,100,14.29
80,Kaka,TM,2021-04-14 03:54:31,37.3482,59.6143,68.23,24,36,4.61
81,Maryville,US,2021-04-14 03:54:32,35.7565,-83.9705,62.6,59,20,2.57
82,Puerto Baquerizo Moreno,EC,2021-04-14 03:54:32,-0.9,-89.6,75.74,88,37,6.11
83,Las Palmas,ES,2021-04-14 03:54:32,28.4204,-14.0131,66.2,82,0,10.36
84,Chuy,UY,2021-04-14 03:54:33,-33.6971,-53.4616,57.27,81,0,2.44
85,Saint-Philippe,RE,2021-04-14 03:54:33,-21.3585,55.7679,80.6,69,0,3.44
86,Mangrol,IN,2021-04-14 03:54:34,21.1167,70.1167,85.59,43,2,11.56
87,Marck,FR,2021-04-14 03:54:34,50.949,1.9433,36.0,85,3,4.52
88,Praia,CV,2021-04-14 03:54:35,14.9215,-23.5087,77.0,38,0,25.32
89,Broken Hill,AU,2021-04-14 03:54:35,-31.95,141.4333,71.6,40,40,11.5
90,Coari,BR,2021-04-14 03:54:35,-4.085,-63.1414,74.55,97,100,2.91
91,Santa Isabel Do Rio Negro,BR,2021-04-14 03:54:36,-0.4139,-65.0192,73.42,98,100,1.1
92,Ancud,CL,2021-04-14 03:54:36,-41.8697,-73.8203,55.0,100,90,1.14
93,Bitlis,TR,2021-04-14 03:54:36,38.5,42.25,39.2,93,75,6.91
94,Narsaq,GL,2021-04-14 03:54:37,60.9167,-46.05,35.6,69,1,3.2
95,Port Alfred,ZA,2021-04-14 03:54:37,-33.5906,26.891,69.19,86,69,9.69
96,Gallup,US,2021-04-14 03:54:38,35.5281,-108.7426,57.2,15,1,10.36
97,Kampong Thum,KH,2021-04-14 03:49:48,12.7111,104.8887,92.39,51,99,7.29
98,Kapaa,US,2021-04-14 03:53:02,22.0752,-159.319,77.0,61,40,19.57
99,Lompoc,US,2021-04-14 03:54:39,34.6391,-120.4579,51.8,71,32,10.36
100,Muyezerskiy,RU,2021-04-14 03:54:39,63.9333,31.65,32.04,90,100,6.46
101,Guerrero Negro,MX,2021-04-14 03:54:39,27.9769,-114.0611,58.26,77,16,15.99
102,Ust-Ordynskiy,RU,2021-04-14 03:54:40,52.805,104.7508,39.2,52,75,15.66
103,Mudgee,AU,2021-04-14 03:54:40,-32.5943,149.5871,75.0,28,3,17.27
104,Lebu,CL,2021-04-14 03:54:40,-37.6167,-73.65,56.32,95,33,8.01
105,Hofn,IS,2021-04-14 03:54:41,64.2539,-15.2082,40.1,57,8,9.26
106,Faanui,PF,2021-04-14 03:54:41,-16.4833,-151.75,82.08,74,100,13.24
107,Bonthe,SL,2021-04-14 03:54:42,7.5264,-12.505,78.94,85,100,3.27
108,Mataura,NZ,2021-04-14 03:54:42,-46.1927,168.8643,53.01,90,100,1.99
109,Zhuzhou,CN,2021-04-14 03:54:42,27.8333,113.15,60.8,100,90,6.71
110,Ulcinj,ME,2021-04-14 03:54:43,41.9294,19.2244,48.2,87,75,8.05
111,Qinzhou,CN,2021-04-14 03:52:36,21.95,108.6167,83.35,64,98,10.65
112,Esmeraldas,BR,2021-04-14 03:54:43,-19.7625,-44.3139,68.0,82,20,6.91
113,Gat,IL,2021-04-14 03:54:44,31.61,34.7642,53.01,71,0,5.06
114,Rajshahi,BD,2021-04-14 03:54:44,24.3667,88.6,98.67,25,2,15.08
115,Pangkalanbuun,ID,2021-04-14 03:54:45,-2.6833,111.6167,90.75,52,97,1.92
116,Palu,ID,2021-04-14 03:54:45,-0.8917,119.8707,86.54,65,95,5.12
117,Abu Dhabi,AE,2021-04-14 03:54:45,24.4667,54.3667,82.4,61,0,1.14
118,Pangnirtung,CA,2021-04-14 03:54:46,66.1451,-65.7125,13.1,96,100,3.47
119,Gornyak,RU,2021-04-14 03:54:46,50.9942,81.4661,40.01,63,28,5.97
120,Am Timan,TD,2021-04-14 03:54:46,11.0297,20.2827,77.68,15,30,4.85
121,Assiniboia,CA,2021-04-14 03:54:47,49.6334,-105.9845,23.0,93,100,17.27
122,Bathsheba,BB,2021-04-14 03:54:47,13.2167,-59.5167,78.8,73,40,14.97
123,Bambanglipuro,ID,2021-04-14 03:54:47,-7.95,110.2833,85.93,64,11,5.03
124,Shingu,JP,2021-04-14 03:54:48,33.7333,135.9833,68.0,56,75,18.41
125,Rio Negrinho,BR,2021-04-14 03:54:48,-26.2544,-49.5183,55.0,96,79,2.64
126,Qaanaaq,GL,2021-04-14 03:54:48,77.484,-69.3632,-13.9,88,96,6.62
127,Kouqian,CN,2021-04-14 03:54:49,43.6391,126.4578,46.69,15,4,14.45
128,Camapua,BR,2021-04-14 03:52:38,-19.5314,-54.0439,72.86,64,0,5.03
129,Maungaturoto,NZ,2021-04-14 03:54:49,-36.1,174.3667,62.01,90,88,7.0
130,Mar Del Plata,AR,2021-04-14 03:54:50,-38.0023,-57.5575,61.0,88,0,4.61
131,Charters Towers,AU,2021-04-14 03:54:50,-20.1,146.2667,83.91,37,4,10.2
132,Pokhara,NP,2021-04-14 03:54:50,28.2333,83.9833,88.9,9,1,6.73
133,Namie,JP,2021-04-14 03:54:51,37.4833,141.0,53.01,91,100,15.05
134,Marystown,CA,2021-04-14 03:54:51,47.1666,-55.1483,36.84,86,100,25.95
135,Benghazi,LY,2021-04-14 03:54:52,32.1167,20.0667,66.47,47,71,3.2
136,Severo-Kurilsk,RU,2021-04-14 03:54:52,50.6789,156.125,39.96,89,100,26.84
137,Havre-Saint-Pierre,CA,2021-04-14 03:54:52,50.2334,-63.5986,26.6,93,1,0.83
138,Alofi,NU,2021-04-14 03:54:53,-19.0595,-169.9187,80.6,69,40,9.22
139,Mweka,CD,2021-04-14 03:54:53,-4.85,21.5667,66.06,99,100,1.79
140,Talnakh,RU,2021-04-14 03:54:53,69.4865,88.3972,20.66,91,100,7.25
141,Luancheng,CN,2021-04-14 03:54:54,37.8792,114.6517,68.0,15,0,6.71
142,Coihaique,CL,2021-04-14 03:54:54,-45.5752,-72.0662,53.92,98,100,5.06
143,La Ronge,CA,2021-04-14 03:54:54,55.1001,-105.2842,26.6,50,11,2.3
144,Derzhavinsk,KZ,2021-04-14 03:54:55,51.1,66.3167,41.77,64,2,11.21
145,Zhigansk,RU,2021-04-14 03:54:55,66.7697,123.3711,21.65,85,100,20.89
146,Kruisfontein,ZA,2021-04-14 03:54:55,-34.0033,24.7314,64.99,95,17,5.91
147,North Bend,US,2021-04-14 03:54:56,43.4065,-124.2243,53.6,62,1,13.8
148,Atar,MR,2021-04-14 03:54:56,20.5169,-13.0499,74.52,25,99,12.06
149,Hobart,AU,2021-04-14 03:50:01,-42.8794,147.3294,66.2,39,75,21.85
150,Lodja,CD,2021-04-14 03:54:56,-3.4833,23.4333,68.09,99,100,1.14
151,Sur,OM,2021-04-14 03:53:25,22.5667,59.5289,86.41,42,30,3.22
152,Sabanagrande,CO,2021-04-14 03:54:57,10.7912,-74.7606,80.6,89,75,14.97
153,Vardo,NO,2021-04-14 03:54:57,70.3705,31.1107,24.8,63,0,10.36
154,Kem,RU,2021-04-14 03:54:58,64.9555,34.5793,37.42,80,100,8.32
155,Grand Gaube,MU,2021-04-14 03:54:58,-20.0064,57.6608,81.0,74,75,5.99
156,Geraldton,AU,2021-04-14 03:54:59,-28.7667,114.6,71.6,40,0,17.27
157,Avarua,CK,2021-04-14 03:52:06,-21.2078,-159.775,80.6,69,20,4.61
158,Wajima,JP,2021-04-14 03:54:59,37.4,136.9,44.6,76,75,8.05
159,Katherine,AU,2021-04-14 03:55:00,-14.4667,132.2667,93.2,20,0,9.22
160,Manokwari,ID,2021-04-14 03:55:00,-0.8667,134.0833,83.88,74,95,7.31
161,Aktash,RU,2021-04-14 03:55:00,50.3,87.7333,24.03,44,22,6.53
162,Cidreira,BR,2021-04-14 03:55:01,-30.1811,-50.2056,68.86,64,0,9.57
163,Khlong Luang,TH,2021-04-14 03:55:01,14.0647,100.6458,93.99,62,40,5.75
164,Nikolskoye,RU,2021-04-14 03:55:01,59.7035,30.7861,39.99,75,90,6.71
165,Provideniya,RU,2021-04-14 03:55:02,64.3833,-173.3,21.2,73,90,13.42
166,Nchelenge,ZM,2021-04-14 03:55:02,-9.3451,28.734,65.03,90,100,5.88
167,Yumen,CN,2021-04-14 03:55:03,40.2833,97.2,55.42,12,1,28.01
168,Laurel,US,2021-04-14 03:55:03,39.0993,-76.8483,55.99,87,24,4.16
169,Kodiak,US,2021-04-14 03:47:11,57.79,-152.4072,39.2,81,90,12.66
170,Hualmay,PE,2021-04-14 03:55:04,-11.0964,-77.6139,67.3,86,98,7.65
171,Paraguacu,BR,2021-04-14 03:55:04,-21.5472,-45.7375,63.54,94,99,3.47
172,Pacific Grove,US,2021-04-14 03:55:05,36.6177,-121.9166,53.6,71,75,8.05
173,Lorengau,PG,2021-04-14 03:55:05,-2.0226,147.2712,84.15,67,87,10.49
174,Kanniyakumari,IN,2021-04-14 03:55:06,8.0833,77.5667,84.51,68,91,3.18
175,Pevek,RU,2021-04-14 03:55:06,69.7008,170.3133,0.64,83,69,1.39
176,Kaitangata,NZ,2021-04-14 03:55:06,-46.2817,169.8464,55.99,80,100,14.0
177,Tachov,CZ,2021-04-14 03:55:07,49.7953,12.6337,28.0,92,83,5.01
178,Klaksvik,FO,2021-04-14 03:55:07,62.2266,-6.589,39.2,100,75,8.03
179,Ilulissat,GL,2021-04-14 03:55:07,69.2167,-51.1,23.0,86,75,12.66
180,Nadvoitsy,RU,2021-04-14 03:55:08,63.8667,34.3167,37.87,90,100,7.16
181,Beringovskiy,RU,2021-04-14 03:55:08,63.05,179.3167,15.33,82,91,13.49
182,Pangoa,PE,2021-04-14 03:55:08,-12.1167,-73.0,67.77,98,58,1.32
183,Cherskiy,RU,2021-04-14 03:55:09,68.75,161.3,10.72,71,65,1.43
184,Sainte-Marie,RE,2021-04-14 03:55:09,-20.8968,55.5496,78.8,73,75,10.36
185,Hasaki,JP,2021-04-14 03:55:09,35.7333,140.8333,71.6,78,75,21.85
186,Jiujiang,CN,2021-04-14 03:55:10,29.7333,115.9833,60.06,85,100,16.04
187,Martapura,ID,2021-04-14 03:55:10,-3.4167,114.85,87.8,66,40,4.61
188,Longyearbyen,SJ,2021-04-14 03:55:11,78.2186,15.6401,3.2,66,20,17.27
189,Sabang,ID,2021-04-14 03:50:23,5.8933,95.3214,83.48,69,100,11.36
190,Iqaluit,CA,2021-04-14 03:51:19,63.7506,-68.5145,15.8,73,75,26.46
191,Milverton,CA,2021-04-14 03:55:11,43.5668,-80.9164,48.0,72,84,1.99
192,Roebourne,AU,2021-04-14 03:55:12,-20.7833,117.1333,84.76,64,93,10.02
193,Gubkinskiy,RU,2021-04-14 03:55:12,64.434,76.5026,28.96,86,99,8.05
194,Leningradskiy,RU,2021-04-14 03:55:12,69.3833,178.4167,6.06,88,95,7.16
195,Olafsvik,IS,2021-04-14 03:55:13,64.8945,-23.7142,40.55,92,23,13.76
196,Pangody,RU,2021-04-14 03:55:13,65.85,74.4859,23.77,90,75,7.9
197,Marsa Matruh,EG,2021-04-14 03:55:14,31.3525,27.2453,53.6,87,0,3.44
198,Cantagallo,CO,2021-04-14 03:55:14,7.376,-73.9196,76.91,93,100,1.39
199,Jamestown,US,2021-04-14 03:55:15,42.097,-79.2353,46.4,53,1,8.05
200,Acapulco,MX,2021-04-14 03:55:15,16.8634,-99.8901,77.32,73,0,6.89
201,Vila Velha,BR,2021-04-14 03:55:15,-20.3297,-40.2925,77.0,69,75,10.36
202,Robertsport,LR,2021-04-14 03:55:16,6.7533,-11.3686,80.22,79,100,0.72
203,Jumla,NP,2021-04-14 03:55:16,29.2747,82.1838,64.98,22,12,4.72
204,Faya,SA,2021-04-14 03:55:16,18.3851,42.4509,59.0,72,0,0.69
205,Zhangjiakou,CN,2021-04-14 03:55:17,40.81,114.8794,55.87,17,0,4.47
206,Castro,BR,2021-04-14 03:55:17,-24.7911,-50.0119,55.38,98,47,7.23
