City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
80,Bluff,-46.6,168.3333,61.0,77,76,7.0,broken clouds,NZ
81,Saint Augustine,29.8947,-81.3145,73.4,73,75,13.8,broken clouds,US
82,Lorengau,-2.0226,147.2712,83.7,71,68,5.26,broken clouds,PG
83,Omboue,-1.5746,9.2618,76.59,89,100,3.74,overcast clouds,GA
84,Avarua,-21.2078,-159.775,84.2,61,20,8.05,few clouds,CK
85,Vostok,46.4856,135.8833,34.7,34,2,11.72,clear sky,RU
86,Makat,47.6469,53.3463,56.75,31,18,15.61,few clouds,KZ
87,Coihaique,-45.5752,-72.0662,46.4,81,75,3.44,broken clouds,CL
88,Kahului,20.8947,-156.47,80.6,50,40,17.27,scattered clouds,US
89,Neenah,44.1858,-88.4626,41.0,48,75,11.5,broken clouds,US
90,Ketchikan,55.3422,-131.6461,51.8,62,1,11.5,clear sky,US
91,Manzhouli,49.6,117.4333,37.9,36,100,10.69,overcast clouds,CN
92,Lavrentiya,65.5833,-171.0,29.44,88,97,2.35,overcast clouds,RU
93,Hilo,19.7297,-155.09,80.6,54,20,12.66,few clouds,US
94,Coquimbo,-29.9533,-71.3436,59.0,88,90,3.44,overcast clouds,CL
95,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,29.07,66,100,12.3,overcast clouds,RU
96,Tarbagatay,51.4803,107.3602,33.8,60,20,4.47,snow,RU
97,Lambarene,-0.7001,10.2406,74.21,92,100,1.79,overcast clouds,GA
98,Mao,39.8885,4.2658,51.8,82,0,4.61,clear sky,ES
99,Gao,16.6362,1.637,84.6,8,62,8.79,broken clouds,ML
100,Evensk,61.95,159.2333,18.12,91,100,15.26,light snow,RU
101,Nampa,43.5407,-116.5635,57.2,21,1,4.61,clear sky,US
102,Peniche,39.3558,-9.3811,61.0,93,100,5.01,light rain,PT
103,Georgetown,5.4112,100.3354,82.4,89,20,4.61,few clouds,MY
104,Margate,51.3813,1.3862,41.0,70,15,3.0,few clouds,GB
105,Murshidabad,24.1833,88.2667,89.06,41,63,11.34,broken clouds,IN
106,Yellowknife,62.456,-114.3525,42.8,39,1,2.3,clear sky,CA
107,Imeni Poliny Osipenko,52.4201,136.4853,29.03,73,49,6.04,scattered clouds,RU
108,Lerwick,60.1545,-1.1494,42.8,93,40,2.3,scattered clouds,GB
109,Shangqiu,34.45,115.65,66.0,55,10,13.73,clear sky,CN
110,Dossor,47.5272,52.9811,57.16,30,21,16.58,few clouds,KZ
111,Kristiinankaupunki,62.2743,21.376,34.56,80,6,2.68,clear sky,FI
112,Okakarara,-20.5833,17.4333,56.28,48,0,2.86,clear sky,NA
113,Vigrestad,58.5667,5.7,39.2,81,0,2.3,clear sky,NO
114,Hasaki,35.7333,140.8333,55.0,35,20,14.97,few clouds,JP
115,Narsaq,60.9167,-46.05,33.8,75,20,3.44,few clouds,GL
116,Rondonopolis,-16.4708,-54.6356,74.37,54,29,1.99,scattered clouds,BR
117,Aklavik,68.2191,-135.0107,44.6,42,100,6.91,light snow,CA
118,Soyo,-6.1349,12.3689,78.96,86,100,6.22,overcast clouds,AO
119,Baoying,33.2292,119.3092,57.49,52,100,12.12,overcast clouds,CN
120,Chifeng,42.2683,118.9636,63.88,13,80,19.35,broken clouds,CN
121,Formosa,-26.1775,-58.1781,75.2,88,0,2.3,clear sky,AR
122,Cape Town,-33.9258,18.4232,62.01,94,0,9.22,clear sky,ZA
123,Predivinsk,57.0669,93.4378,31.53,79,99,6.08,overcast clouds,RU
124,Grand-Lahou,5.1367,-5.0242,80.85,84,100,7.63,overcast clouds,CI
125,Kenai,60.5544,-151.2583,44.6,65,90,6.91,overcast clouds,US
126,Cap Malheureux,-19.9842,57.6142,75.99,88,95,3.0,light rain,MU
127,Klaksvik,62.2266,-6.589,44.6,100,20,12.66,few clouds,FO
128,Padang,-0.9492,100.3543,80.56,80,95,1.81,overcast clouds,ID
129,Constantine,36.365,6.6147,51.8,93,75,5.75,broken clouds,DZ
130,Clarence Town,-32.5833,151.7833,75.99,43,0,6.91,clear sky,AU
131,Tura,25.5198,90.2201,82.87,49,95,7.43,overcast clouds,IN
132,Souillac,-20.5167,57.5167,77.0,94,75,6.91,light rain,MU
133,Arraial Do Cabo,-22.9661,-42.0278,74.19,62,59,4.56,broken clouds,BR
134,Thunder Bay,48.4001,-89.3168,37.4,70,75,8.05,broken clouds,CA
135,Puerto Ayora,-0.7393,-90.3518,76.24,90,23,3.04,few clouds,EC
136,Limon,10.0,-83.0333,80.6,89,75,14.97,broken clouds,CR
137,Khatanga,71.9667,102.5,-6.43,94,45,9.46,scattered clouds,RU
138,Ekhabi,53.5102,142.9671,26.35,81,100,24.32,light snow,RU
139,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,87,75,4.47,broken clouds,RU
140,Belaya Gora,68.5333,146.4167,12.47,77,80,4.74,broken clouds,RU
141,Ust-Kuyga,70.0167,135.6,13.23,82,13,3.85,few clouds,RU
142,Bredasdorp,-34.5322,20.0403,50.0,93,94,3.44,overcast clouds,ZA
143,Lebu,-37.6167,-73.65,54.86,93,100,4.09,overcast clouds,CL
144,Oum Hadjer,13.2954,19.6966,78.76,9,4,11.39,clear sky,TD
145,Mar Del Plata,-38.0023,-57.5575,64.99,82,0,6.91,clear sky,AR
146,Mayo,38.8876,-76.5119,57.2,100,90,5.68,moderate rain,US
147,Pacifica,37.6138,-122.4869,59.0,71,1,5.75,haze,US
148,Hobart,-42.8794,147.3294,57.2,51,20,24.16,few clouds,AU
149,La Ronge,55.1001,-105.2842,41.0,38,98,2.3,overcast clouds,CA
150,Dikson,73.5069,80.5464,-16.33,100,100,7.34,overcast clouds,RU
151,Almaznyy,48.0448,40.045,41.0,93,6,2.24,clear sky,RU
152,Atuona,-9.8,-139.0333,80.85,72,15,19.53,few clouds,PF
153,Geraldton,-28.7667,114.6,68.0,49,0,21.85,clear sky,AU
154,Bonthe,7.5264,-12.505,78.75,82,100,6.08,overcast clouds,SL
155,Belyy Yar,53.6039,91.3903,39.2,81,40,6.71,light rain,RU
156,Praya,14.9215,-23.5087,73.4,60,0,17.27,clear sky,CV
157,Yining,29.0361,114.5636,61.45,89,100,0.89,light rain,CN
158,Hartselle,34.4434,-86.9353,59.0,94,90,5.06,light rain,US
159,Port Alfred,-33.5906,26.891,67.15,80,63,7.25,broken clouds,ZA
160,Dicabisagan,17.0818,122.4157,84.51,63,13,4.7,few clouds,PH
161,Cedar City,37.6775,-113.0619,55.4,19,90,17.27,overcast clouds,US
162,Sitka,57.0531,-135.33,42.8,81,90,3.44,light rain,US
163,Maua,-23.6678,-46.4614,63.0,88,75,4.61,broken clouds,BR
164,Dukhovnitskoye,52.4828,48.2137,43.97,89,4,3.71,clear sky,RU
165,Alofi,-19.0595,-169.9187,82.4,65,40,5.75,scattered clouds,NU
166,Guanica,17.9716,-66.908,78.01,78,100,4.0,overcast clouds,PR
167,Rochegda,62.8,43.25,32.07,89,98,4.76,overcast clouds,RU
168,Shambu,9.5667,37.1,56.03,61,99,2.42,overcast clouds,ET
169,Ilulissat,69.2167,-51.1,15.8,57,75,18.41,snow,GL
170,Myitkyina,25.3833,97.4,85.64,29,27,2.06,scattered clouds,MM
171,Bowen,-20.0167,148.2333,80.6,57,40,14.97,scattered clouds,AU
172,Puerto Leguizamo,-0.1934,-74.7819,73.0,97,100,1.21,overcast clouds,CO
173,Mareeba,-17.0,145.4333,84.99,58,75,14.97,broken clouds,AU
174,Yerbogachen,61.2767,108.0108,27.73,69,40,7.0,scattered clouds,RU
175,Alyangula,-13.8483,136.4192,86.0,70,90,9.89,overcast clouds,AU
176,Cuiluan,47.72,128.648,47.37,24,7,3.98,clear sky,CN
177,Beringovskiy,63.05,179.3167,16.61,74,13,3.11,few clouds,RU
178,Saldanha,-33.0117,17.9442,71.6,49,53,6.91,broken clouds,ZA
179,Moissala,8.3404,17.7663,85.35,36,100,5.12,overcast clouds,TD
180,Maraba,-5.3686,-49.1178,73.02,97,97,1.74,overcast clouds,BR
181,Kaitangata,-46.2817,169.8464,64.0,65,8,4.0,clear sky,NZ
182,Torbay,47.6666,-52.7314,33.01,93,90,11.5,light snow,CA
183,Pangnirtung,66.1451,-65.7125,-9.8,98,94,5.12,overcast clouds,CA
184,Shingu,33.7333,135.9833,59.0,29,40,4.61,scattered clouds,JP
185,Vardo,70.3705,31.1107,32.59,71,37,21.92,light snow,NO
186,Marawi,7.9986,124.2928,82.99,81,100,4.0,overcast clouds,PH
187,Zalantun,48.0,122.7167,44.11,33,100,9.44,overcast clouds,CN
188,Caceres,39.522,-6.3748,55.74,97,100,1.3,overcast clouds,ES
189,Cache Creek,50.8101,-121.3246,71.6,17,1,9.22,clear sky,CA
190,Gizo,-8.103,156.8419,83.86,72,43,8.1,light rain,SB
191,Gamba,-2.65,10.0,74.64,86,100,3.98,overcast clouds,GA
192,Malacatepec,18.9333,-98.3,66.2,42,75,6.91,broken clouds,MX
193,Te Anau,-45.4167,167.7167,53.78,83,98,6.33,overcast clouds,NZ
194,Acapulco,16.8634,-99.8901,80.6,83,75,9.22,broken clouds,MX
195,Upernavik,72.7868,-56.1549,-12.12,100,97,2.93,overcast clouds,GL
196,Roald,62.5833,6.1333,39.99,75,90,6.91,overcast clouds,NO
197,Craidorolt,47.6167,22.7,37.0,100,90,6.91,overcast clouds,RO
198,Mollendo,-17.0231,-72.0147,66.47,88,61,6.08,broken clouds,PE
199,Burnie,-41.0667,145.9167,53.1,86,98,13.44,overcast clouds,AU
200,Saryozek,44.3583,77.9753,55.85,34,0,2.46,clear sky,KZ
201,Cayenne,4.9333,-52.3333,82.0,89,40,2.3,scattered clouds,GF
202,Aland,17.5667,76.5667,76.28,59,0,10.69,clear sky,IN
203,Kargil,34.5667,76.1,32.43,54,93,2.84,overcast clouds,IN
204,Krasnyy Chikoy,50.3643,108.7512,34.86,45,76,9.01,broken clouds,RU
205,Porto Nacional,-10.7081,-48.4172,75.2,94,75,1.54,heavy intensity rain,BR
206,Heyang,26.1011,107.473,58.24,94,100,1.95,overcast clouds,CN
207,Punta Alta,-38.8759,-62.0736,65.86,60,0,17.0,clear sky,AR
208,Grajau,-5.8194,-46.1386,75.09,92,100,1.77,overcast clouds,BR
209,Bengkulu,-3.8004,102.2655,81.61,70,99,2.44,overcast clouds,ID
210,Okha,53.5739,142.9478,26.35,81,100,24.0,light snow,RU
211,Tabou,4.423,-7.3528,80.35,82,100,4.43,overcast clouds,CI
212,Filingue,14.3521,3.3168,84.38,7,99,7.94,overcast clouds,NE
